Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.01738311,0,-0.01477892,0,0,0,6.4102,0.04504572,0,5.675E-05,0.0495762,0,0.08445578,0,0,0,0,0,0,package://chess/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://chess/meshes/base_link.STL,,方块-48;方块-40;方块-34;方块-32;方块-26;方块-20;方块-12;方块-6;方块-4;主体-1;方块-2;方块-10;方块-18;方块-16;方块-24;方块-30;方块-38;方块-46;方块-44;方块-36;方块-22;方块-8;方块-170;方块-169;方块-168;方块-175;方块-173;方块-176;方块-172;方块-177;方块-178;方块-187;方块-186;方块-185;方块-184;方块-183;方块-180,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
black_Link,0.15007,-0.038342,0.06,0,0,0,0.324,0.00207413,-0.00159058,0,0.00396126,0,0.00413999,0,0,0,0,0,0,package://chess/meshes/black_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://chess/meshes/black_Link.STL,,方块-41;方块-27;方块-33;方块-47;方块-19;方块-13;方块-5;方块-11;方块-25;方块-39;方块-45;方块-31;方块-37;方块-43;方块-29;方块-23;方块-17;方块-9;方块-15;方块-1;方块-3;方块-149;方块-148;方块-153;方块-152;方块-151;方块-156;方块-155;方块-160;方块-159;方块-158;方块-165;方块-162;方块-163;方块-164;方块-166,Origin_joint1,Axis_joint1,joint1,fixed,-0.147236802820961,0.0599999999999999,-0.0401471522118938,1.5707963267949,-0.5235987755983,0,base_link,0,0,0,,,,,,,,,,,,
